<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.07.21	12415.01	12630.76	12349.36	12538.26	112321	0	33
2022.07.22	12524.16	12671.81	12321.16	12390.66	99347	0	68
2022.07.25	12388.01	12479.26	12247.19	12312.29	98609	0	68
2022.07.26	12287.84	12314.49	12053.74	12163.09	91942	0	72
2022.07.27	12221.59	12672.04	12218.44	12563.14	94085	0	72
2022.07.28	12561.89	12929.14	12429.99	12897.14	99830	0	72
2022.07.29	12865.34	12988.34	12725.09	12953.34	96277	0	72
2022.08.01	12921.89	13089.24	12833.64	12958.64	96076	0	62
2022.08.02	12942.49	13078.97	12798.74	12899.72	106048	0	66
2022.08.03	12903.32	13291.32	12850.32	13235.07	98628	0	30
2022.08.04	13216.12	13334.87	13163.52	13307.37	94745	0	76
2022.08.05	13302.32	13363.97	13065.27	13169.02	87820	0	76
2022.08.08	13177.42	13399.12	13100.10	13174.10	115079	0	30
2022.08.09	13181.90	13212.60	12943.40	13028.80	105928	0	60
2022.08.10	13029.20	13384.00	12961.10	13369.70	101274	0	60
2022.08.11	13353.80	13554.10	13267.70	13323.30	107806	0	60
2022.08.12	13308.50	13560.60	13292.20	13557.20	95751	0	60
2022.08.15	13535.00	13685.30	13475.40	13658.70	93406	0	60
2022.08.16	13650.40	13722.30	13506.50	13636.30	99057	0	60
2022.08.17	13625.00	13647.80	13384.90	13469.80	108610	0	60
2022.08.18	13464.60	13556.20	13388.70	13516.90	103544	0	60
2022.08.19	13502.10	13511.70	13211.20	13231.50	101511	0	60
2022.08.22	13172.60	13204.40	12858.80	12915.70	105996	0	60
2022.08.23	12908.10	13000.70	12806.20	12871.30	110102	0	60
2022.08.24	12875.80	12995.90	12809.10	12940.60	103893	0	60
2022.08.25	12934.80	13147.50	12909.50	13127.70	101942	0	60
2022.08.26	13135.80	13205.40	12664.50	12668.90	103603	0	60
2022.08.29	12480.50	12598.20	12391.50	12490.90	127069	0	60
2022.08.30	12497.80	12646.30	12237.10	12350.40	121987	0	60
2022.08.31	12346.00	12500.70	12266.50	12290.70	123265	0	60
2022.09.01	12277.20	12289.90	12009.50	12282.60	133022	0	70
2022.09.02	12299.20	12454.20	12034.60	12125.30	127596	0	60
2022.09.05	12082.70	12161.40	12048.30	12132.20	73714	0	60
2022.09.06	12117.20	12238.80	11925.40	12014.20	127667	0	70
2022.09.07	12016.10	12298.10	11917.60	12258.20	121303	0	60
2022.09.08	12270.50	12376.10	12111.30	12343.00	121653	0	70
2022.09.09	12334.90	12609.10	12326.40	12586.80	97140	0	60
2022.09.12	12669.70	12770.30	12571.30	12766.70	103573	0	60
2022.09.13	12765.40	12880.05	12003.40	12047.30	113491	0	60
2022.09.14	12029.60	12170.20	11999.80	12169.90	130711	0	60
2022.09.15	12156.40	12186.20	11863.70	11888.50	117588	0	60
2022.09.16	11834.40	11876.40	11705.80	11864.40	121364	0	60
2022.09.19	11855.60	11992.30	11720.10	11980.80	112492	0	60
2022.09.20	11972.10	12019.80	11760.40	11871.50	114310	0	60
2022.09.21	11861.60	12067.80	11576.90	11605.20	115955	0	60
2022.09.22	11602.00	11725.70	11447.00	11501.40	141659	0	60
2022.09.23	11507.40	11535.70	11166.40	11329.30	130051	0	60
2022.09.26	11253.50	11476.10	11195.20	11254.90	150751	0	70
2022.09.27	11247.90	11505.00	11171.10	11286.20	135407	0	70
2022.09.28	11303.20	11547.00	11081.40	11474.10	153326	0	60
2022.09.29	11485.20	11497.90	11032.70	11170.60	144376	0	70
2022.09.30	11176.80	11297.60	10966.70	10991.60	148272	0	70
2022.10.03	10937.80	11298.70	10833.90	11248.50	139425	0	60
2022.10.04	11257.00	11611.10	11219.30	11580.20	131843	0	60
2022.10.05	11567.50	11649.40	11305.70	11571.60	128799	0	60
2022.10.06	11561.00	11667.70	11450.10	11452.90	134879	0	70
2022.10.07	11446.10	11506.10	10989.50	11044.50	128833	0	60
2022.10.10	10977.50	11078.60	10822.40	10943.80	186411	0	60
2022.10.11	10938.40	10984.20	10713.00	10820.80	224381	0	70
2022.10.12	10814.40	10920.70	10751.90	10796.90	220992	0	60
2022.10.13	10808.60	11090.50	10431.80	11016.00	209079	0	70
2022.10.14	11022.00	11200.20	10679.80	10701.00	228545	0	70
2022.10.17	10726.80	11091.70	10715.60	11090.50	198860	0	60
2022.10.18	11113.20	11378.30	11029.80	11283.90	216412	0	70
2022.10.19	11271.80	11331.90	11003.00	11103.70	211724	0	60
2022.10.20	11084.90	11281.40	10961.00	11025.30	219607	0	70
2022.10.21	11007.60	11341.00	10891.80	11330.60	209683	0	60
2022.10.24	11455.90	11485.10	11163.50	11414.90	246663	0	60
2022.10.25	11412.50	11685.70	11383.70	11540.50	197391	0	60
2022.10.26	11431.90	11656.90	11368.40	11429.00	213143	0	60
2022.10.27	11377.40	11489.80	10884.00	11049.40	218738	0	60
2022.10.28	11091.80	11578.50	11019.50	11577.10	207251	0	60
2022.10.31	11525.20	11547.00	11325.20	11423.70	177535	0	60
2022.11.01	11408.00	11578.10	11247.70	11277.50	182431	0	60
2022.11.02	11289.30	11418.20	10869.80	10912.50	185068	0	60
2022.11.03	10881.20	10957.80	10671.30	10701.40	195712	0	60
2022.11.04	10671.40	10938.40	10609.20	10840.10	208197	0	70
2022.11.07	10775.50	11001.90	10749.20	10971.90	195237	0	60
2022.11.08	10974.60	11194.00	10891.70	11061.20	184061	0	60
2022.11.09	11055.10	11124.80	10788.00	10813.80	205352	0	70
2022.11.10	10812.60	11633.80	10797.30	11628.20	197343	0	60
2022.11.11	11620.40	11841.30	11535.60	11803.30	208029	0	60
2022.11.14	11764.70	11862.90	11667.10	11726.50	180116	0	60
2022.11.15	11737.00	12083.30	11725.90	11850.80	207299	0	60
2022.11.16	11822.80	11922.90	11668.20	11734.80	201867	0	60
2022.11.17	11738.30	11787.80	11490.20	11707.30	186176	0	60
2022.11.18	11710.80	11807.10	11575.50	11678.00	176675	0	60
2022.11.21	11700.80	11707.20	11523.00	11562.90	172278	0	60
2022.11.22	11565.10	11731.60	11495.20	11711.40	157563	0	60
2022.11.23	11715.50	11868.70	11692.00	11851.50	152073	0	60
2022.11.24	11857.80	11908.90	11850.40	11892.20	65822	0	60
2022.11.25	11897.00	11899.80	11742.50	11763.20	96221	0	60
2022.11.28	11701.40	11765.70	11552.80	11605.90	168132	0	60
2022.11.29	11596.20	11681.50	11443.00	11497.90	169917	0	60
2022.11.30	11497.20	12055.40	11476.10	12044.90	182351	0	60
2022.12.01	12052.80	12115.70	11923.70	12023.80	187082	0	60
2022.12.02	12022.10	12048.70	11721.70	11963.70	172157	0	60
2022.12.05	11983.80	11993.20	11730.80	11796.40	167443	0	60
2022.12.06	11797.50	11829.00	11488.80	11554.50	179786	0	60
2022.12.07	11560.50	11581.80	11409.00	11487.40	181575	0	60
