DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2021-08-25,15368.3,15404.8,15341.3,15372.55,63425
2021-08-26,15370.6,15374.85,15263.7,15295.35,80892
2021-08-27,15291.6,15451.6,15273.6,15430.1,64803
2021-08-30,15438.25,15626.85,15429.0,15614.15,55969
2021-08-31,15612.65,15686.9,15529.4,15611.4,80063
2021-09-01,15611.7,15708.45,15589.95,15617.95,68030
2021-09-02,15626.45,15691.7,15562.45,15609.2,68822
2021-09-03,15608.35,15687.7,15564.3,15662.3,68751
2021-09-06,15672.05,15720.2,15654.3,15711.8,24357
2021-09-07,15708.8,15713.55,15619.3,15682.55,71056
2021-09-08,15685.55,15702.8,15537.9,15624.8,86075
2021-09-09,15618.45,15688.05,15558.95,15574.55,83018
2021-09-10,15578.45,15680.2,15447.35,15464.85,73142
2021-09-13,15473.35,15578.35,15364.6,15470.95,89980
2021-09-14,15460.95,15543.95,15366.45,15412.95,80192
2021-09-15,15414.9,15534.8,15327.8,15530.7,77324
2021-09-16,15528.85,15553.1,15378.85,15515.1,76406
2021-09-17,15514.7,15549.2,15297.7,15308.45,88847
2021-09-20,15317.73,15355.33,14829.3,15014.05,133326
2021-09-21,15020.9,15183.15,14983.65,15010.15,110751
2021-09-22,15013.75,15246.5,14950.75,15188.25,101514
2021-09-23,15203.77,15366.25,15195.75,15309.75,89029
2021-09-24,15323.85,15353.6,15196.85,15337.1,88233
2021-09-27,15344.75,15419.0,15104.5,15199.25,91494
2021-09-28,15199.1,15211.6,14762.35,14789.6,123564
2021-09-29,14793.5,14944.25,14730.75,14784.0,119823
2021-09-30,14785.1,14901.6,14690.85,14697.85,117498
2021-10-01,14720.6,14835.6,14556.35,14786.6,125507
2021-10-04,14790.25,14850.75,14383.75,14507.5,137089
2021-10-05,14499.15,14769.15,14425.9,14661.65,116412
2021-10-06,14684.9,14784.9,14438.4,14776.4,134602
2021-10-07,14789.3,15015.2,14787.2,14900.95,94156
2021-10-08,14912.85,15010.1,14806.1,14823.12,105275
2021-10-11,14831.75,14911.75,14692.5,14700.0,108033
2021-10-12,14704.5,14798.25,14601.0,14617.5,113784
2021-10-13,14613.82,14810.65,14606.65,14783.15,100497
2021-10-14,14789.65,15083.85,14787.9,15074.45,73639
2021-10-15,15073.35,15158.6,15035.85,15154.35,80434
2021-10-18,15170.7,15311.0,15055.7,15305.15,84369
2021-10-19,15301.7,15440.45,15286.7,15422.5,74417
2021-10-20,15418.35,15460.65,15334.25,15371.75,77051
2021-10-21,15373.85,15497.5,15316.1,15395.1,77394
2021-10-22,15399.6,15477.2,15288.3,15336.05,88983
2021-10-25,15329.45,15559.95,15310.45,15551.45,80827
2021-10-26,15544.45,15715.55,15518.95,15548.7,89448
2021-10-27,15557.3,15729.4,15522.4,15602.7,94123
2021-10-28,15616.4,15790.1,15607.65,15679.4,91990
2021-10-29,15694.15,15876.0,15612.2,15869.95,97745
2021-11-01,15892.55,15930.05,15784.8,15903.8,85620
2021-11-02,15895.95,15995.6,15864.7,15973.95,82419
2021-11-03,15964.9,16161.05,15952.15,16142.9,79510
2021-11-04,16152.05,16390.55,16150.3,16348.05,83234
2021-11-05,16338.0,16460.6,16304.0,16355.25,96739
2021-11-08,16320.6,16404.55,16283.85,16335.25,92380
2021-11-09,16327.1,16402.45,16171.85,16211.1,97698
2021-11-10,16199.55,16252.3,15908.05,15996.15,91646
2021-11-11,16003.75,16123.4,15985.75,16046.75,75979
2021-11-12,16051.15,16221.9,16011.15,16208.4,68012
2021-11-15,16224.3,16284.05,16091.8,16199.05,68400
2021-11-16,16200.7,16329.7,16152.05,16298.8,66803
2021-11-17,16299.6,16399.6,16273.35,16323.1,66471
2021-11-18,16332.35,16506.35,16307.6,16501.6,73313
2021-11-19,16498.15,16637.0,16497.65,16597.15,86286
2021-11-22,16622.9,16780.7,16376.95,16395.35,81960
2021-11-23,16422.1,16431.05,16132.05,16306.05,104205
2021-11-24,16311.6,16379.85,16114.2,16364.85,94516
2021-11-25,16374.5,16447.35,16364.35,16416.12,28893
2021-11-26,16414.1,16416.85,16002.1,16050.7,108571
2021-11-29,16106.5,16451.1,16106.5,16425.6,110524
2021-11-30,16434.15,16469.4,16082.9,16244.15,128102
2021-12-01,16269.0,16440.1,15840.0,15877.75,116091
2021-12-02,15914.72,16076.95,15774.45,16019.45,131323
2021-12-03,16032.45,16133.2,15550.2,15698.45,124918
2021-12-06,15727.45,15908.7,15572.7,15856.45,119970
2021-12-07,15871.2,16387.35,15837.45,16380.45,93085
2021-12-08,16359.0,16446.4,16265.75,16399.0,95025
2021-12-09,16388.85,16432.35,16136.55,16168.8,86785
2021-12-10,16181.9,16354.85,16151.4,16337.35,79251
2021-12-13,16367.7,16430.2,16080.95,16114.1,87457
2021-12-14,16115.25,16148.75,15752.6,15947.0,99455
2021-12-15,15952.85,16316.5,15757.45,16300.85,98506
2021-12-16,16318.0,16473.5,15809.95,15896.1,107358
2021-12-17,15875.55,15973.05,15668.8,15842.3,121205
2021-12-20,15852.87,15862.85,15509.35,15695.35,129756
2021-12-21,15695.47,16002.55,15620.45,15993.7,100567
2021-12-22,15984.02,16197.0,15897.02,16196.0,89625
2021-12-23,16203.75,16369.3,16160.17,16315.7,64554
2021-12-27,16349.15,16595.15,16319.4,16587.05,66746
2021-12-28,16582.05,16671.15,16468.05,16529.65,79355
2021-12-29,16529.0,16578.5,16402.75,16495.75,76558
2021-12-30,16483.0,16581.45,16425.7,16440.6,68525
2021-12-31,16453.85,16477.9,16328.15,16343.4,69886
2022-01-03,16399.95,16521.45,16306.1,16504.55,79826
2022-01-04,16512.3,16574.8,16151.85,16270.3,90908
2022-01-05,16273.8,16277.1,15768.5,15770.0,103717
2022-01-06,15754.7,15905.85,15609.95,15795.95,132722
2022-01-07,15814.5,15863.25,15521.75,15585.75,113947
2022-01-10,15577.3,15681.95,15164.15,15626.9,124202
2022-01-11,15623.92,15850.7,15488.15,15835.95,116356
2022-01-12,15844.45,16022.95,15775.45,15915.75,108746
2022-01-13,15908.6,15991.6,15472.3,15504.05,107460
2022-01-14,15523.5,15629.75,15327.0,15628.5,133139
2022-01-17,15626.35,15650.45,15522.2,15571.97,58357
2022-01-18,15583.4,15616.65,15185.8,15254.8,131890
2022-01-19,15258.35,15385.1,15026.37,15051.6,136510
2022-01-20,15065.2,15353.6,14661.47,14683.45,128007
